quartier,superficie,nombre_de_chambres,douches_wc,type_d_acces,meublé,état_général,loyer_mensuel,confortable,espace
1.0,0.5104895104895105,0.3333333333333333,1.0,0.0,0.0,0.5,0.2647058823529412,0.0,0.4520547945205479
0.4666666666666667,0.5804195804195804,0.3333333333333333,1.0,1.0,0.0,1.0,0.411764705882353,0.0,0.5205479452054795
0.5333333333333333,0.16083916083916083,0.0,1.0,0.5,1.0,1.0,0.029411764705882346,1.0,0.3150684931506849
0.8,0.7202797202797203,0.3333333333333333,1.0,1.0,0.0,1.0,0.5220588235294118,0.0,0.6575342465753424
0.4666666666666667,0.8601398601398601,0.3333333333333333,1.0,1.0,0.0,1.0,0.4485294117647059,0.0,0.7945205479452055
0.6666666666666666,0.6503496503496503,0.6666666666666667,1.0,1.0,0.0,1.0,0.3382352941176471,0.0,0.36068493150684927
0.6666666666666666,0.5104895104895105,0.0,1.0,1.0,0.0,1.0,0.2647058823529412,0.0,1.0
0.8666666666666667,0.055944055944055944,0.0,0.0,0.0,0.0,0.0,0.00735294117647059,0.0,0.1095890410958904
0.8666666666666667,0.3006993006993007,0.6666666666666667,1.0,0.5,0.0,0.5,0.4852941176470588,0.0,0.13246575342465755
0.8666666666666667,0.09090909090909091,0.0,0.0,0.0,0.0,0.5,0.08088235294117647,0.0,0.1780821917808219
0.8666666666666667,0.23076923076923078,0.0,1.0,0.0,0.0,0.0,0.029411764705882346,0.0,0.4520547945205479
0.13333333333333333,0.3706293706293706,0.3333333333333333,1.0,0.0,0.0,0.0,0.11764705882352942,0.0,0.3150684931506849
0.13333333333333333,0.5104895104895105,0.3333333333333333,1.0,1.0,0.0,0.5,0.2647058823529412,0.0,0.4520547945205479
0.13333333333333333,0.3006993006993007,0.3333333333333333,0.0,0.5,0.0,0.0,0.11764705882352942,0.0,0.2465753424657534
0.4666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,0.9264705882352943,1.0,0.41780821917808214
0.26666666666666666,0.4405594405594406,0.0,1.0,0.0,1.0,0.5,0.6323529411764707,0.0,0.8630136986301369
0.6666666666666666,0.6503496503496503,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2465753424657534
0.3333333333333333,0.09090909090909091,0.0,0.0,1.0,1.0,0.5,0.11764705882352942,0.0,0.1780821917808219
0.7333333333333333,0.5104895104895105,0.6666666666666667,1.0,1.0,1.0,1.0,0.5955882352941178,1.0,0.26945205479452056
0.9333333333333333,0.09090909090909091,0.0,1.0,1.0,1.0,1.0,0.2647058823529412,1.0,0.1780821917808219
0.06666666666666667,0.3006993006993007,0.0,1.0,1.0,1.0,0.5,0.28308823529411764,0.0,0.5890410958904109
0.0,0.09090909090909091,0.0,0.0,1.0,1.0,0.0,0.11764705882352942,0.0,0.1780821917808219
0.4,0.16083916083916083,0.0,1.0,1.0,1.0,1.0,0.2647058823529412,1.0,0.3150684931506849
0.0,0.055944055944055944,0.0,1.0,0.0,1.0,0.5,0.11764705882352942,0.0,0.1095890410958904
0.0,0.020979020979020983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0410958904109589
0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.022058823529411756,0.0,0.0
0.0,0.3706293706293706,0.0,1.0,0.5,0.0,0.5,0.2647058823529412,0.0,0.726027397260274
0.2,0.3006993006993007,0.3333333333333333,1.0,0.5,0.0,0.5,0.15441176470588236,0.0,0.2465753424657534
0.2,0.09090909090909091,0.3333333333333333,1.0,0.0,0.0,0.5,0.15441176470588236,0.0,0.0410958904109589
0.2,0.5104895104895105,0.3333333333333333,1.0,0.0,0.0,1.0,0.22794117647058826,0.0,0.4520547945205479
